rowid,object,attribute,value,attributetype
1904,1f8f6a47-d997-4ccd-924e-c5555ed1c068,locationAddress,"110 S Park St, San Francisco, CA",address
1905,1f8f6a47-d997-4ccd-924e-c5555ed1c068,organizerName,SF Temporal User Group,string
1906,99fb3ab8-f30e-4159-bd27-59372f1895ec,type,event,type
1907,99fb3ab8-f30e-4159-bd27-59372f1895ec,startDate,2024-03-21T17:30:00-07:00,date
1908,99fb3ab8-f30e-4159-bd27-59372f1895ec,endDate,2024-03-21T19:00:00-07:00,date
1909,99fb3ab8-f30e-4159-bd27-59372f1895ec,name,Young PM's AI Discussion,string
1910,99fb3ab8-f30e-4159-bd27-59372f1895ec,url,https://www.meetup.com/san-francisco-product-launch-manager-meetup-group/events/299685640/,url
1911,99fb3ab8-f30e-4159-bd27-59372f1895ec,image,https://secure-content.meetupstatic.com/images/classic-events/519616177/676x676.jpg,url-img
1912,99fb3ab8-f30e-4159-bd27-59372f1895ec,description,"If you choose to come, please read the Pop-Up rules below before RSVP'ing so that you are most prepared for the discussion.

***

Enjoy a drink at Joe the ",string
1913,99fb3ab8-f30e-4159-bd27-59372f1895ec,locationName,JOE & THE JUICE,string
1914,99fb3ab8-f30e-4159-bd27-59372f1895ec,locationAddress,"301 Howard St, San Francisco, CA",address
1915,99fb3ab8-f30e-4159-bd27-59372f1895ec,organizerName,S.F. Product Managers 20''s & 30''s,string
1916,8b1a4b5b-7747-4149-8288-43f89ca5801f,type,event,type
1917,8b1a4b5b-7747-4149-8288-43f89ca5801f,startDate,2024-03-19T17:30:00-07:00,date
1918,8b1a4b5b-7747-4149-8288-43f89ca5801f,endDate,2024-03-19T20:30:00-07:00,date
1919,8b1a4b5b-7747-4149-8288-43f89ca5801f,name,Unstructured Data in LLMs,string
1920,8b1a4b5b-7747-4149-8288-43f89ca5801f,url,https://www.meetup.com/unstructured-data/events/297446753/,url
1921,8b1a4b5b-7747-4149-8288-43f89ca5801f,image,https://secure-content.meetupstatic.com/images/classic-events/519703233/676x676.jpg,url-img
1922,8b1a4b5b-7747-4149-8288-43f89ca5801f,description,This is an in-person event! Registration [using this form](https://lu.ma/c3bwce5i) is required in order to get in. Github will email you a form the day bef,string
1923,8b1a4b5b-7747-4149-8288-43f89ca5801f,locationName,88 Colin P Kelly Jr St,string
1924,8b1a4b5b-7747-4149-8288-43f89ca5801f,locationAddress,"88 Colin P Kelly Jr St, San Francisco, CA",address
1925,8b1a4b5b-7747-4149-8288-43f89ca5801f,organizerName,Unstructured Data Meetup Bay Area + Seattle,string
1926,dace4569-e8e0-4acf-9f63-1e0e00354019,type,event,type
1927,dace4569-e8e0-4acf-9f63-1e0e00354019,startDate,2024-03-24T09:30:00-07:00,date
1928,dace4569-e8e0-4acf-9f63-1e0e00354019,endDate,2024-03-24T12:30:00-07:00,date
1929,dace4569-e8e0-4acf-9f63-1e0e00354019,name,Windmills & Tulips OMG! - Golden Gate Park,string
1930,dace4569-e8e0-4acf-9f63-1e0e00354019,url,https://www.meetup.com/burlingame-plein-air-painters/events/298652459/,url
1931,dace4569-e8e0-4acf-9f63-1e0e00354019,image,https://secure-content.meetupstatic.com/images/classic-events/519159109/676x676.jpg,url-img
1932,dace4569-e8e0-4acf-9f63-1e0e00354019,description,"Dutch treat! (OK, so that's a sad play on words.) A full scale windmill plus if luck is with us the whole tulip field in bloom! You can wander into the Wes",string
1933,dace4569-e8e0-4acf-9f63-1e0e00354019,locationName,Queen Wilhelmina Garden,string
1934,dace4569-e8e0-4acf-9f63-1e0e00354019,locationAddress,"1690 John F Kennedy Dr, San Francisco, CA",address
1935,dace4569-e8e0-4acf-9f63-1e0e00354019,organizerName,Burlingame Plein Air Painters,string
1936,c8fddc22-8959-4b7c-9adb-ad22cbaf8a30,type,cafe,type
1937,c8fddc22-8959-4b7c-9adb-ad22cbaf8a30,website,https://noecafe.com,url
1938,c8fddc22-8959-4b7c-9adb-ad22cbaf8a30,lattitude,37.7484974,float
1939,c8fddc22-8959-4b7c-9adb-ad22cbaf8a30,longitude,-122.429217,float
1940,c8fddc22-8959-4b7c-9adb-ad22cbaf8a30,name,Noe Cafe,string
1941,c8fddc22-8959-4b7c-9adb-ad22cbaf8a30,address,"1299 Sanchez Street, San Francisco, CA 94114",address
1942,c8fddc22-8959-4b7c-9adb-ad22cbaf8a30,hours,{},
1943,c8fddc22-8959-4b7c-9adb-ad22cbaf8a30,price,0,int
1944,c8fddc22-8959-4b7c-9adb-ad22cbaf8a30,reviewsWebsite,https://www.tripadvisor.com/Restaurant_Review-g60713-d25491954-Reviews-Noe_Valley_Cafe_LLC-San_Francisco_California.html?m=63959,url
1945,bb829ed6-07d5-4655-81a0-067c948836e0,type,cafe,type
1946,bb829ed6-07d5-4655-81a0-067c948836e0,website,https://www.anothercafesf.com,url
1947,bb829ed6-07d5-4655-81a0-067c948836e0,lattitude,37.7901681,float
1948,bb829ed6-07d5-4655-81a0-067c948836e0,longitude,-122.4154112,float
1949,bb829ed6-07d5-4655-81a0-067c948836e0,name,Another Cafe,string
1950,bb829ed6-07d5-4655-81a0-067c948836e0,address,"1191 Pine St, Nob Hill, San Francisco, CA 94109-5104",address
1951,bb829ed6-07d5-4655-81a0-067c948836e0,hours,"{""Fri"":""06:00:00–22:00:00"",""Mon"":""06:00:00–22:00:00"",""Sat"":""07:00:00–21:00:00"",""Sun"":""07:00:00–21:00:00"",""Thu"":""06:00:00–22:00:00"",""Tue"":""06:00:00–22:00:00"",""Wed"":""06:00:00–22:00:00""}",
1952,bb829ed6-07d5-4655-81a0-067c948836e0,price,1,int
1953,bb829ed6-07d5-4655-81a0-067c948836e0,reviewsWebsite,https://www.tripadvisor.com/Restaurant_Review-g60713-d3235731-Reviews-Another_Cafe-San_Francisco_California.html?m=63959,url
1954,b46029e4-4b22-4691-af91-152288192466,type,cafe,type
1955,b46029e4-4b22-4691-af91-152288192466,website,https://ritualroasters.com,url
1956,b46029e4-4b22-4691-af91-152288192466,lattitude,37.7564167,float
1957,b46029e4-4b22-4691-af91-152288192466,longitude,-122.4212286,float
1958,b46029e4-4b22-4691-af91-152288192466,name,Ritual Coffee Roasters,string
1959,b46029e4-4b22-4691-af91-152288192466,address,"1026 Valencia St, San Francisco, CA 94110-2406",address
1960,b46029e4-4b22-4691-af91-152288192466,hours,"{""Fri"":""06:00:00–22:00:00"",""Mon"":""06:00:00–22:00:00"",""Sat"":""11:00:00–23:00:00"",""Sun"":""07:00:00–21:00:00"",""Thu"":""06:00:00–22:00:00"",""Tue"":""06:00:00–22:00:00"",""Wed"":""06:00:00–22:00:00""}",
1961,b46029e4-4b22-4691-af91-152288192466,price,2.5,int
1962,b46029e4-4b22-4691-af91-152288192466,reviewsWebsite,https://www.tripadvisor.com/Restaurant_Review-g60713-d853358-Reviews-Ritual_Coffee_Roasters-San_Francisco_California.html?m=63959,url
1963,b46029e4-4b22-4691-af91-152288192466,phoneNumber,+14156411011,phoneNumber
1964,fd3f0dd1-17ce-4c04-b2a8-a1ec5c780542,type,cafe,type
1965,fd3f0dd1-17ce-4c04-b2a8-a1ec5c780542,website,https://www.cafereveille.com/lowerhaight,url
1966,fd3f0dd1-17ce-4c04-b2a8-a1ec5c780542,lattitude,37.7710569,float
1967,fd3f0dd1-17ce-4c04-b2a8-a1ec5c780542,longitude,-122.432071,float
1968,fd3f0dd1-17ce-4c04-b2a8-a1ec5c780542,name,Cafe Réveille,string
1969,fd3f0dd1-17ce-4c04-b2a8-a1ec5c780542,address,"1998 Polk St, San Francisco, CA  94109, United States",address
1970,fd3f0dd1-17ce-4c04-b2a8-a1ec5c780542,hours,"""""",
1971,fd3f0dd1-17ce-4c04-b2a8-a1ec5c780542,price,0,int
1972,fd3f0dd1-17ce-4c04-b2a8-a1ec5c780542,reviewsWebsite,http://yelp.com/biz/gc-92vNLNa-Wyn-W3T5Lcg,url
1973,fd3f0dd1-17ce-4c04-b2a8-a1ec5c780542,phoneNumber,+14157896258,phoneNumber
1974,bf52dc32-f2f5-46ad-a8f5-d14f12d55096,type,cafe,type
1975,bf52dc32-f2f5-46ad-a8f5-d14f12d55096,website,https://www.philzcoffee.com,url
1976,bf52dc32-f2f5-46ad-a8f5-d14f12d55096,lattitude,37.7755634,float
1977,bf52dc32-f2f5-46ad-a8f5-d14f12d55096,longitude,-122.3933972,float
1978,bf52dc32-f2f5-46ad-a8f5-d14f12d55096,name,Philz Coffee,string
1979,bf52dc32-f2f5-46ad-a8f5-d14f12d55096,address,"201 Berry St, San Francisco, CA 94158-1629",address
1980,bf52dc32-f2f5-46ad-a8f5-d14f12d55096,hours,"{""Fri"":""06:00:00–17:00:00"",""Mon"":""06:00:00–17:00:00"",""Sat"":""06:30:00–18:00:00"",""Sun"":""06:30:00–17:30:00"",""Thu"":""06:00:00–17:00:00"",""Tue"":""06:00:00–17:00:00"",""Wed"":""06:00:00–17:00:00""}",
1981,bf52dc32-f2f5-46ad-a8f5-d14f12d55096,price,1,int
1982,bf52dc32-f2f5-46ad-a8f5-d14f12d55096,reviewsWebsite,https://www.tripadvisor.com/Restaurant_Review-g60713-d1014920-Reviews-Philz_Coffee-San_Francisco_California.html?m=63959,url
1983,bf52dc32-f2f5-46ad-a8f5-d14f12d55096,phoneNumber,+14158759943,phoneNumber
1984,389b1f68-5a70-42d2-bb18-0dd171063dcd,type,cafe,type
1985,389b1f68-5a70-42d2-bb18-0dd171063dcd,website,https://boudinbakery.com/location/union-square-macys-bakery-cafe,url
1986,389b1f68-5a70-42d2-bb18-0dd171063dcd,lattitude,37.7866824,float
1987,389b1f68-5a70-42d2-bb18-0dd171063dcd,longitude,-122.407058,float
1988,389b1f68-5a70-42d2-bb18-0dd171063dcd,name,Boudin,string
1989,389b1f68-5a70-42d2-bb18-0dd171063dcd,address,"160 Jefferson St, Fisherman's Wharf, San Francisco, CA 94133-1202",address
1990,389b1f68-5a70-42d2-bb18-0dd171063dcd,hours,{},
1991,389b1f68-5a70-42d2-bb18-0dd171063dcd,price,0,int
1992,389b1f68-5a70-42d2-bb18-0dd171063dcd,reviewsWebsite,https://www.tripadvisor.com/Attraction_Review-g60713-d156537-Reviews-Boudin_at_the_Wharf-San_Francisco_California.html?m=63959,url
1993,389b1f68-5a70-42d2-bb18-0dd171063dcd,phoneNumber,+14159281849,phoneNumber
1994,b75ca7ec-adfd-4c33-b0d5-76842c8d6806,type,cafe,type
1995,b75ca7ec-adfd-4c33-b0d5-76842c8d6806,website,https://www.crostiniandjava.com,url
1996,b75ca7ec-adfd-4c33-b0d5-76842c8d6806,lattitude,37.7889803,float
1997,b75ca7ec-adfd-4c33-b0d5-76842c8d6806,longitude,-122.4171394,float
1998,b75ca7ec-adfd-4c33-b0d5-76842c8d6806,name,Crostini & Java,string
1999,b75ca7ec-adfd-4c33-b0d5-76842c8d6806,address,"899 Hyde St, San Francisco, CA 94109-5927",address
2000,b75ca7ec-adfd-4c33-b0d5-76842c8d6806,hours,"{""Fri"":""06:30:00–15:00:00"",""Mon"":""06:30:00–15:00:00"",""Sat"":""07:30:00–15:00:00"",""Sun"":""07:30:00–15:00:00"",""Thu"":""06:30:00–15:00:00"",""Tue"":""06:30:00–15:00:00"",""Wed"":""06:30:00–15:00:00""}",
2001,b75ca7ec-adfd-4c33-b0d5-76842c8d6806,price,1,int
2002,b75ca7ec-adfd-4c33-b0d5-76842c8d6806,reviewsWebsite,https://www.tripadvisor.com/Restaurant_Review-g60713-d14080095-Reviews-Crostini_Java-San_Francisco_California.html?m=63959,url
2003,b75ca7ec-adfd-4c33-b0d5-76842c8d6806,phoneNumber,+14158729226,phoneNumber
2004,7f0cca7f-d6a8-4a52-9288-29ff7df84c05,type,cafe,type
2005,7f0cca7f-d6a8-4a52-9288-29ff7df84c05,website,https://www.bobsdonutssf.com,url
2006,7f0cca7f-d6a8-4a52-9288-29ff7df84c05,lattitude,37.791885,float
2007,7f0cca7f-d6a8-4a52-9288-29ff7df84c05,longitude,-122.4211078,float
2008,7f0cca7f-d6a8-4a52-9288-29ff7df84c05,name,Bob's Donuts,string
2009,7f0cca7f-d6a8-4a52-9288-29ff7df84c05,address,"1621 Polk St, San Francisco, CA 94109-3614",address
2010,7f0cca7f-d6a8-4a52-9288-29ff7df84c05,hours,"{""Fri"":""00:00:00–23:59:00"",""Mon"":""00:00:00–23:59:00"",""Sat"":""00:00:00–23:59:00"",""Thu"":""00:00:00–23:59:00"",""Tue"":""00:00:00–23:59:00"",""Wed"":""00:00:00–23:59:00""}",
2011,7f0cca7f-d6a8-4a52-9288-29ff7df84c05,price,1,int
2012,7f0cca7f-d6a8-4a52-9288-29ff7df84c05,reviewsWebsite,https://www.tripadvisor.com/Restaurant_Review-g60713-d2649298-Reviews-Bob_s_Donuts_Pastry_Shop-San_Francisco_California.html?m=63959,url
2013,7f0cca7f-d6a8-4a52-9288-29ff7df84c05,phoneNumber,+14157763141,phoneNumber
2014,868867af-f000-47d3-8156-741506900a1d,type,cafe,type
2015,868867af-f000-47d3-8156-741506900a1d,website,http://www.javabeachsf.com,url
2016,868867af-f000-47d3-8156-741506900a1d,lattitude,37.7604494,float
2017,868867af-f000-47d3-8156-741506900a1d,longitude,-122.508978,float
2018,868867af-f000-47d3-8156-741506900a1d,name,Java Beach Cafe,string
2019,868867af-f000-47d3-8156-741506900a1d,address,"1396 La Playa St, San Francisco, CA 94122-1019",address
2020,868867af-f000-47d3-8156-741506900a1d,hours,"{""Fri"":""06:00:00–17:00:00"",""Mon"":""06:00:00–17:00:00"",""Sat"":""06:30:00–17:00:00"",""Sun"":""06:30:00–17:00:00"",""Thu"":""06:00:00–17:00:00"",""Tue"":""06:00:00–17:00:00"",""Wed"":""06:00:00–17:00:00""}",
2021,868867af-f000-47d3-8156-741506900a1d,price,1,int
2022,868867af-f000-47d3-8156-741506900a1d,reviewsWebsite,https://www.tripadvisor.com/Restaurant_Review-g60713-d2620311-Reviews-Java_Beach_Cafe-San_Francisco_California.html?m=63959,url
2023,868867af-f000-47d3-8156-741506900a1d,phoneNumber,+14156655282,phoneNumber
2024,3e3dd6b9-e086-4cf2-8578-5337474011b6,type,cafe,type
2025,3e3dd6b9-e086-4cf2-8578-5337474011b6,website,http://www.cafestjorge.com,url
2026,3e3dd6b9-e086-4cf2-8578-5337474011b6,lattitude,37.7416967,float
2027,3e3dd6b9-e086-4cf2-8578-5337474011b6,longitude,-122.422572,float
2028,3e3dd6b9-e086-4cf2-8578-5337474011b6,name,Cafe St. Jorge,string
2029,3e3dd6b9-e086-4cf2-8578-5337474011b6,address,"3438 Mission St, San Francisco, CA 94110-5437",address
2030,3e3dd6b9-e086-4cf2-8578-5337474011b6,hours,"{""Fri"":""07:00:00–18:00:00"",""Mon"":""07:00:00–18:00:00"",""Sat"":""07:00:00–20:00:00"",""Sun"":""08:00:00–17:00:00"",""Thu"":""07:00:00–18:00:00"",""Tue"":""07:00:00–18:00:00"",""Wed"":""07:00:00–18:00:00""}",
2031,3e3dd6b9-e086-4cf2-8578-5337474011b6,price,2.5,int
2032,3e3dd6b9-e086-4cf2-8578-5337474011b6,reviewsWebsite,https://www.tripadvisor.com/Restaurant_Review-g60713-d4866225-Reviews-Cafe_St_Jorge-San_Francisco_California.html?m=63959,url
2033,3e3dd6b9-e086-4cf2-8578-5337474011b6,phoneNumber,+14158142028,phoneNumber
2034,60aa264a-976d-4775-b934-4d74c96806fd,type,event,type
2035,60aa264a-976d-4775-b934-4d74c96806fd,startDate,2024-03-28T17:00:00-07:00,date
2036,60aa264a-976d-4775-b934-4d74c96806fd,endDate,2024-03-28T20:00:00-07:00,date
2037,60aa264a-976d-4775-b934-4d74c96806fd,name,Bay Area Ruby Meetup Group @ GitHub HQ,string
2038,60aa264a-976d-4775-b934-4d74c96806fd,url,https://www.meetup.com/san-francisco-ruby-meetup-group/events/299635202/,url
2039,60aa264a-976d-4775-b934-4d74c96806fd,image,https://secure-content.meetupstatic.com/images/classic-events/519578114/676x676.jpg,url-img
2040,60aa264a-976d-4775-b934-4d74c96806fd,description,"(NOTE: [Please register at this Luma Link](https://lu.ma/r6d0lghm) (Github's preference) in addition to RSVPing here.)

Hey, Bay Area builders and tinkerer",string
2041,60aa264a-976d-4775-b934-4d74c96806fd,locationName,GitHub,string
2042,60aa264a-976d-4775-b934-4d74c96806fd,locationAddress,"88 Colin P Kelly Jr St, San Francisco, CA",address
2043,60aa264a-976d-4775-b934-4d74c96806fd,organizerName,SF Bay Area Ruby Meetup Group,string
2044,4cfede0a-1c6f-4510-95ce-53f763c741d4,type,event,type
2045,4cfede0a-1c6f-4510-95ce-53f763c741d4,startDate,2024-03-28T18:00:00-07:00,date
2046,4cfede0a-1c6f-4510-95ce-53f763c741d4,endDate,2024-03-28T22:00:00-07:00,date
2047,4cfede0a-1c6f-4510-95ce-53f763c741d4,name,San Francisco AI Block Party,string
2048,4cfede0a-1c6f-4510-95ce-53f763c741d4,url,https://www.meetup.com/sanfrancisco-ai/events/299429399/,url
2049,4cfede0a-1c6f-4510-95ce-53f763c741d4,image,https://secure-content.meetupstatic.com/images/classic-events/519380766/676x676.jpg,url-img
2050,4cfede0a-1c6f-4510-95ce-53f763c741d4,description,"Welcome to the San Francisco AI Block Party! Get ready for a night of fun, music, and good vibes in the heart of San Francisco.

Bring your friends and net",string
2051,4cfede0a-1c6f-4510-95ce-53f763c741d4,locationName,1481 Folsom St,string
2052,4cfede0a-1c6f-4510-95ce-53f763c741d4,locationAddress,"1481 Folsom St, San Francisco, CA",address
2053,4cfede0a-1c6f-4510-95ce-53f763c741d4,organizerName,San francisco AI Meetups,string
2054,d460392c-fc75-490c-aeda-b99b972e0e6e,type,event,type
2055,d460392c-fc75-490c-aeda-b99b972e0e6e,startDate,2024-03-16T13:00:00-07:00,date
2056,d460392c-fc75-490c-aeda-b99b972e0e6e,endDate,2024-03-16T15:00:00-07:00,date
2057,d460392c-fc75-490c-aeda-b99b972e0e6e,name,Queerly Quarterly Meet & Greet (Bernal Heights & Adjacent),string
2058,d460392c-fc75-490c-aeda-b99b972e0e6e,url,https://www.meetup.com/queerly-quarterly/events/298999698/,url
2059,d460392c-fc75-490c-aeda-b99b972e0e6e,image,https://secure-content.meetupstatic.com/images/classic-events/518923242/676x676.jpg,url-img
2060,d460392c-fc75-490c-aeda-b99b972e0e6e,description,Welcome to Queerly Quarterly meet and greet! Our meetup focuses on fostering a sense of community among residents and creating connections within the LGBTQ,string
2061,d460392c-fc75-490c-aeda-b99b972e0e6e,locationName,San Francisco,string
2062,d460392c-fc75-490c-aeda-b99b972e0e6e,locationAddress,"Downtown, San Francisco, CA",address
2063,d460392c-fc75-490c-aeda-b99b972e0e6e,organizerName,Queerly Quarterly,string
2064,092332e7-13eb-4bc3-8cce-ce24f3683b19,type,event,type
2065,092332e7-13eb-4bc3-8cce-ce24f3683b19,startDate,2024-03-18T15:00:00-07:00,date
2066,092332e7-13eb-4bc3-8cce-ce24f3683b19,endDate,2024-03-18T17:00:00-07:00,date
2067,092332e7-13eb-4bc3-8cce-ce24f3683b19,name,Game Developers and Publishers Boba Happy Hour @ GDC!,string
2068,092332e7-13eb-4bc3-8cce-ce24f3683b19,url,https://www.meetup.com/conduit-turn-gameplay-into-social-posts/events/298761027/,url
2069,092332e7-13eb-4bc3-8cce-ce24f3683b19,image,https://secure-content.meetupstatic.com/images/classic-events/518685848/676x676.jpg,url-img
2070,092332e7-13eb-4bc3-8cce-ce24f3683b19,description,"**\*\*RSVP ON EVENTBRITE FOR ENTRY\*\***
https://www.eventbrite.com/e/game-developers-and-publishers-boba-happy-hour-gdc-tickets-807243736747

Looking for ",string
2071,092332e7-13eb-4bc3-8cce-ce24f3683b19,locationName,Yerba Buena Gardens,string
2072,092332e7-13eb-4bc3-8cce-ce24f3683b19,locationAddress,"750 Howard St, San Francisco, CA",address
2073,092332e7-13eb-4bc3-8cce-ce24f3683b19,organizerName,Conduit - Automatic Social Posts for Indies,string
2074,5c664fce-039c-4b1c-a8d8-db758387a7f4,type,event,type
2075,5c664fce-039c-4b1c-a8d8-db758387a7f4,startDate,2024-03-16T11:00:00-07:00,date
2076,5c664fce-039c-4b1c-a8d8-db758387a7f4,endDate,2024-03-16T13:00:00-07:00,date
2077,5c664fce-039c-4b1c-a8d8-db758387a7f4,name,Mahamudra: Walking for connection 💫,string
2078,5c664fce-039c-4b1c-a8d8-db758387a7f4,url,https://www.meetup.com/mahamudra-walking-for-connection/events/299576166/,url
2079,5c664fce-039c-4b1c-a8d8-db758387a7f4,image,h,url-img
2138,43a9e94f-823b-42b6-a966-dec661cc9720,url,https://www.meetup.com/surrealist-art-painting-group/events/299224488/,url
2080,5c664fce-039c-4b1c-a8d8-db758387a7f4,description,"Join us for a transformative journey of self-discovery through Mahamudra walking meditation. We will explore personal development, fitness, and techniques ",string
2081,5c664fce-039c-4b1c-a8d8-db758387a7f4,locationName,Ritual Coffee Roasters,string
2082,5c664fce-039c-4b1c-a8d8-db758387a7f4,locationAddress,"432b Octavia St, San Francisco, CA",address
2083,5c664fce-039c-4b1c-a8d8-db758387a7f4,organizerName,Mahamudra: Walking for connection,string
2084,3f92e1a3-aea9-4703-8919-f1d63543b3f0,type,event,type
2085,3f92e1a3-aea9-4703-8919-f1d63543b3f0,startDate,2024-03-27T18:00:00-07:00,date
2086,3f92e1a3-aea9-4703-8919-f1d63543b3f0,endDate,2024-03-27T20:00:00-07:00,date
2087,3f92e1a3-aea9-4703-8919-f1d63543b3f0,name,Talk Series: Event Streaming with Mantis & Scaling Computations with Ray,string
2088,3f92e1a3-aea9-4703-8919-f1d63543b3f0,url,https://www.meetup.com/data-engineer-things-bay-area-meetup/events/299603013/,url
2089,3f92e1a3-aea9-4703-8919-f1d63543b3f0,image,https://secure-content.meetupstatic.com/images/classic-events/519750261/676x676.jpg,url-img
2090,3f92e1a3-aea9-4703-8919-f1d63543b3f0,description,"Whether you're a seasoned data engineer or just starting out, this event will provide valuable insights and practical tips on the work we do. Come network ",string
2091,3f92e1a3-aea9-4703-8919-f1d63543b3f0,locationName,Writing Lab,string
2092,3f92e1a3-aea9-4703-8919-f1d63543b3f0,locationAddress,"180 Golden Gate Ave,, San Francisco , CA",address
2093,3f92e1a3-aea9-4703-8919-f1d63543b3f0,organizerName,Data Engineer Things Bay Area Meetup,string
2094,138277ad-d8b2-4b34-b36c-f6874ae5d3f6,type,event,type
2095,138277ad-d8b2-4b34-b36c-f6874ae5d3f6,startDate,2024-03-19T19:00:00-07:00,date
2096,138277ad-d8b2-4b34-b36c-f6874ae5d3f6,endDate,2024-03-19T23:59:00-07:00,date
2097,138277ad-d8b2-4b34-b36c-f6874ae5d3f6,name,"GDC 2024 After Party Meetup with HashiCorp, Sentry, Unity, Discord & More",string
2098,138277ad-d8b2-4b34-b36c-f6874ae5d3f6,url,https://www.meetup.com/monthly-sf-game-development-community/events/298874115/,url
2099,138277ad-d8b2-4b34-b36c-f6874ae5d3f6,image,https://secure-content.meetupstatic.com/images/classic-events/519278588/676x676.jpg,url-img
2100,138277ad-d8b2-4b34-b36c-f6874ae5d3f6,description,"Welcome back to SF Game Development's third annual GDC 2024 After Party Meetup at DNA Lounge on Tuesday, March 19th from 7:00pm-12:00am. This is the larges",string
2101,138277ad-d8b2-4b34-b36c-f6874ae5d3f6,locationName,DNA Lounge,string
2102,138277ad-d8b2-4b34-b36c-f6874ae5d3f6,locationAddress,"375 11th St, San Francisco, CA",address
2103,138277ad-d8b2-4b34-b36c-f6874ae5d3f6,organizerName,SF Game Development,string
2104,5a28f375-850c-4508-850e-68931fa6245f,type,event,type
2105,5a28f375-850c-4508-850e-68931fa6245f,startDate,2024-03-28T18:00:00-07:00,date
2106,5a28f375-850c-4508-850e-68931fa6245f,endDate,2024-03-28T20:00:00-07:00,date
2107,5a28f375-850c-4508-850e-68931fa6245f,name,Data and AI Engineering Panel: Airbyte x LangChain x Pinecone,string
2108,5a28f375-850c-4508-850e-68931fa6245f,url,https://www.meetup.com/data-bytes/events/299752878/,url
2109,5a28f375-850c-4508-850e-68931fa6245f,image,https://secure-content.meetupstatic.com/images/classic-events/519718245/676x676.jpg,url-img
2110,5a28f375-850c-4508-850e-68931fa6245f,description,"Join us for some light bites, drinks, and discussion about data engineering for AI. Our meetup will include a panel discussion with experts from the engine",string
2111,5a28f375-850c-4508-850e-68931fa6245f,locationName,100 California St,string
2112,5a28f375-850c-4508-850e-68931fa6245f,locationAddress,"100 California St, San Francisco, CA",address
2113,5a28f375-850c-4508-850e-68931fa6245f,organizerName,Data Bytes,string
2114,0d211103-4dd3-40d2-9b52-ca1550be71f4,type,event,type
2115,0d211103-4dd3-40d2-9b52-ca1550be71f4,startDate,2024-03-26T19:30:00-07:00,date
2116,0d211103-4dd3-40d2-9b52-ca1550be71f4,endDate,2024-03-26T22:30:00-07:00,date
2117,0d211103-4dd3-40d2-9b52-ca1550be71f4,name,Make International friends & Language Exchange !,string
2118,0d211103-4dd3-40d2-9b52-ca1550be71f4,url,https://www.meetup.com/international-friends-san-francisco/events/299309308/,url
2119,0d211103-4dd3-40d2-9b52-ca1550be71f4,image,https://secure-content.meetupstatic.com/images/classic-events/519254228/676x676.jpg,url-img
2120,0d211103-4dd3-40d2-9b52-ca1550be71f4,description,"Make international friends & speak languages (local language included).
The languages spoken may vary based on the participants.
👉🍺🥤 You are asked to or",string
2121,0d211103-4dd3-40d2-9b52-ca1550be71f4,locationName,Iron Horse Cocktails,string
2122,0d211103-4dd3-40d2-9b52-ca1550be71f4,locationAddress,"25 Maiden Ln, San Francisco, CA",address
2123,0d211103-4dd3-40d2-9b52-ca1550be71f4,organizerName,International friends San Francisco,string
2124,a83a2c7a-135a-43ee-baca-92a9480ff879,type,event,type
2125,a83a2c7a-135a-43ee-baca-92a9480ff879,startDate,2024-03-27T18:00:00-07:00,date
2126,a83a2c7a-135a-43ee-baca-92a9480ff879,endDate,2024-03-27T21:00:00-07:00,date
2127,a83a2c7a-135a-43ee-baca-92a9480ff879,name,Workaholics who Treat Themselves Meetup @ Movida,string
2128,a83a2c7a-135a-43ee-baca-92a9480ff879,url,https://www.meetup.com/workaholics-who-treat-themselves/events/299477384/,url
2129,a83a2c7a-135a-43ee-baca-92a9480ff879,image,https://secure-content.meetupstatic.com/images/classic-events/519425872/676x676.jpg,url-img
2130,a83a2c7a-135a-43ee-baca-92a9480ff879,description,I am excited to share that we will be hosting our first meetup at Movida. Movida is a new restaurant in SF that serves persian and mexican fusion restauran,string
2131,a83a2c7a-135a-43ee-baca-92a9480ff879,locationName,555 2nd St,string
2132,a83a2c7a-135a-43ee-baca-92a9480ff879,locationAddress,"555 2nd St, San Francisco, CA",address
2133,a83a2c7a-135a-43ee-baca-92a9480ff879,organizerName,Workaholics who treat themselves,string
2134,43a9e94f-823b-42b6-a966-dec661cc9720,type,event,type
2135,43a9e94f-823b-42b6-a966-dec661cc9720,startDate,2024-03-15T19:00:00-07:00,date
2136,43a9e94f-823b-42b6-a966-dec661cc9720,endDate,2024-03-15T21:00:00-07:00,date
2137,43a9e94f-823b-42b6-a966-dec661cc9720,name, 1st Surrealism art group meeting,string
2479,73b12797-7083-4589-87d3-ceb06c7ba43f,image,h,url-img
2139,43a9e94f-823b-42b6-a966-dec661cc9720,image,https://secure-content.meetupstatic.com/images/classic-events/519151371/676x676.jpg,url-img
2140,43a9e94f-823b-42b6-a966-dec661cc9720,description,This will be the initial meet up to discuss Future meet-ups and painting plans,string
2141,43a9e94f-823b-42b6-a966-dec661cc9720,locationName,Flying Pig Bistro Pub,string
2142,43a9e94f-823b-42b6-a966-dec661cc9720,locationAddress,"433 South Van Ness Avenue, San Francisco, CA",address
2143,43a9e94f-823b-42b6-a966-dec661cc9720,organizerName,Surrealist Art/ painting group,string
